Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.027    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:2217(_get_tick)
        1    0.026    0.026    0.026    0.026 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
        1    0.000    0.000    0.026    0.026 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:195(__init__)
        8    0.000    0.000    0.025    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2076(__call__)
      172    0.024    0.000    0.025    0.000 {method 'tofile' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.025    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2080(tick_values)
        8    0.001    0.000    0.024    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2016(_raw_ticks)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:654(close)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\_pylab_helpers.py:58(destroy_fig)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\_pylab_helpers.py:41(destroy)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:556(destroy)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2058(destroy)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:908(gca)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:1888(gca)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:1261(add_subplot)
        1    0.000    0.000    0.020    0.020 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
        1    0.000    0.000    0.019    0.019 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:421(__init__)
     12/2    0.000    0.000    0.019    0.009 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2302(destroy)
       13    0.000    0.000    0.018    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:289(draw)
        1    0.000    0.000    0.017    0.017 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:759(compile)
        4    0.000    0.000    0.017    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1322(get_majorticklocs)
      492    0.003    0.000    0.016    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\arraypad.py:504(_as_pairs)
        1    0.000    0.000    0.015    0.015 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1887(wm_iconphoto)
        1    0.000    0.000    0.014    0.014 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2395(__init__)
        1    0.000    0.000    0.014    0.014 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:960(cla)
      172    0.001    0.000    0.013    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:312(untokenize)
        1    0.000    0.000    0.013    0.013 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:2004(_update_label_position)
      172    0.008    0.000    0.012    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:238(untokenize)
       13    0.000    0.000    0.012    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1700(__call__)
        1    0.000    0.000    0.012    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:919(parse)
     46/1    0.001    0.000    0.012    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:417(_parse_sub)
    175/1    0.004    0.000    0.012    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:475(_parse)
        1    0.000    0.000    0.011    0.011 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1985(_get_tick_boxes_siblings)
     3341    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.011    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:2179(get_tick_space)
       13    0.000    0.000    0.010    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1388(_substitute)
       39    0.010    0.000    0.010    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        4    0.000    0.000    0.010    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:2486(get_tick_space)
       45    0.001    0.000    0.010    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\lines.py:751(draw)
      170    0.010    0.000    0.010    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       15    0.000    0.000    0.009    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:458(_get_tick1line)
        1    0.000    0.000    0.009    0.009 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2487(create_image)
        1    0.000    0.000    0.009    0.009 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2470(_create)
      126    0.000    0.000    0.009    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\markers.py:223(__init__)
       33    0.001    0.000    0.009    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\text.py:655(draw)
